ti,Pi
0,1
0.0833,0.9999
0.1667,0.9998
0.25,0.9996
0.3333,0.9995
0.4167,0.9993
0.5,0.9992
0.5833,0.999
0.6667,0.9988
0.75,0.9985
0.8333,0.9982
0.9167,0.9979
1,0.9975
1.0833,0.9972
1.1667,0.9969
1.25,0.9965
1.3333,0.9961
1.4167,0.9957
1.5,0.9952
1.5833,0.9948
1.6667,0.9943
1.75,0.9937
1.8333,0.9932
1.9167,0.9926
2,0.9921
2.0833,0.9914
2.1667,0.9908
2.25,0.9901
2.3333,0.9894
2.4167,0.9888
2.5,0.988
2.5833,0.9873
2.6667,0.9865
2.75,0.9858
2.8333,0.985
2.9167,0.9842
3,0.9834
3.0833,0.9826
3.1667,0.9817
3.25,0.9807
3.3333,0.9798
3.4167,0.9788
3.5,0.9779
3.5833,0.9769
3.6667,0.9759
3.75,0.9749
3.8333,0.9739
3.9167,0.9727
4,0.9716
4.0833,0.9705
4.1667,0.9693
4.25,0.9682
4.3333,0.967
4.4167,0.9658
4.5,0.9646
4.5833,0.9634
4.6667,0.9621
4.75,0.9608
4.8333,0.9595
4.9167,0.9581
5,0.9567
5.0833,0.9554
5.1667,0.9539
5.25,0.9524
5.3333,0.951
5.4167,0.9495
5.5,0.948
5.5833,0.9465
5.6667,0.945
5.75,0.9434
5.8333,0.9418
5.9167,0.9402
6,0.9386
6.0833,0.9369
6.1667,0.9352
6.25,0.9335
6.3333,0.9318
6.4167,0.9301
6.5,0.9284
6.5833,0.9266
6.6667,0.9248
6.75,0.923
6.8333,0.9212
6.9167,0.9193
7,0.9174
7.0833,0.9155
7.1667,0.9135
7.25,0.9116
7.3333,0.9096
7.4167,0.9076
7.5,0.9056
7.5833,0.9036
7.6667,0.9015
7.75,0.8994
7.8333,0.8973
7.9167,0.8952
8,0.893
8.0833,0.8909
8.1667,0.8886
8.25,0.8864
8.3333,0.8841
8.4167,0.8818
8.5,0.8795
8.5833,0.8772
8.6667,0.8748
8.75,0.8724
8.8333,0.8701
8.9167,0.8677
9,0.8653
9.0833,0.8629
9.1667,0.8604
9.25,0.8579
9.3333,0.8554
9.4167,0.8529
9.5,0.8503
9.5833,0.8476
9.6667,0.845
9.75,0.8424
9.8333,0.8398
9.9167,0.8371
10,0.8344
10.0833,0.8317
10.1667,0.829
10.25,0.8263
10.3333,0.8235
10.4167,0.8207
10.5,0.8179
10.5833,0.8151
10.6667,0.8122
10.75,0.8093
10.8333,0.8064
10.9167,0.8035
11,0.8005
11.0833,0.7975
11.1667,0.7945
11.25,0.7915
11.3333,0.7884
11.4167,0.7854
11.5,0.7824
11.5833,0.7793
11.6667,0.7762
11.75,0.773
11.8333,0.7698
11.9167,0.7666
12,0.7634
12.0833,0.7601
12.1667,0.7568
12.25,0.7535
12.3333,0.7502
12.4167,0.7469
12.5,0.7435
12.5833,0.7401
12.6667,0.7367
12.75,0.7333
12.8333,0.7298
12.9167,0.7264
13,0.7229
13.0833,0.7194
13.1667,0.7159
13.25,0.7123
13.3333,0.7087
13.4167,0.7051
13.5,0.7015
13.5833,0.6978
13.6667,0.6941
13.75,0.6904
13.8333,0.6867
13.9167,0.683
14,0.6793
14.0833,0.6755
14.1667,0.6717
14.25,0.6679
14.3333,0.664
14.4167,0.6602
14.5,0.6563
14.5833,0.6524
14.6667,0.6484
14.75,0.6444
14.8333,0.6405
14.9167,0.6364
15,0.6324
15.0833,0.6284
15.1667,0.6244
15.25,0.6204
15.3333,0.6163
15.4167,0.6121
15.5,0.608
15.5833,0.6038
15.6667,0.5996
15.75,0.5955
15.8333,0.5912
15.9167,0.587
16,0.5828
16.0833,0.5785
16.1667,0.5742
16.25,0.5698
16.3333,0.5654
16.4167,0.5611
16.5,0.5566
16.5833,0.5522
16.6667,0.5477
16.75,0.5432
16.8333,0.5387
16.9167,0.5342
17,0.5296
17.0833,0.5251
17.1667,0.5205
17.25,0.5159
17.3333,0.5112
17.4167,0.5065
17.5,0.5019
17.5833,0.4972
17.6667,0.4925
17.75,0.4877
17.8333,0.483
17.9167,0.4781
18,0.4734
18.0833,0.4685
18.1667,0.4637
18.25,0.4588
18.3333,0.4538
18.4167,0.4489
18.5,0.4439
18.5833,0.439
18.6667,0.434
18.75,0.4289
18.8333,0.4239
18.9167,0.4188
19,0.4138
19.0833,0.4087
19.1667,0.4036
19.25,0.3985
19.3333,0.3933
19.4167,0.3882
19.5,0.3829
19.5833,0.3777
19.6667,0.3725
19.75,0.3672
19.8333,0.3619
19.9167,0.3566
20,0.3513
